,category,id,latitude,longitude
0,Sandwiches,cicils-cafe-san-francisco,37.7924919873,-122.39390865
1,Tapas Bars,cha-cha-cha-san-francisco,37.759710056,-122.418911884
2,Czech,paprika-san-francisco,37.752362,-122.419099
3,Bakeries,frog-hollow-farm-market-and-cafe-san-francisco,37.7954406258,-122.393188477
4,Delis,the-hollow-cow-market-san-francisco,37.7985108644,-122.437522709
5,Mexican,taqueria-castillo-b-san-francisco,37.7809792757,-122.41365239
6,American (New),3rd-cousin-san-francisco,37.7483979,-122.4153356
7,Cheese Shops,la-fromagerie-cheese-shop-san-francisco-2,37.7588882,-122.3882464
8,American (New),prospect-san-francisco,37.7898363,-122.3909339
9,Breakfast & Brunch,kitchen-story-san-francisco,37.7643545,-122.4308676
10,Asian Fusion,chubby-noodle-san-francisco-3,37.7994561587,-122.437992096
11,Asian Fusion,chubby-noodle-san-francisco-2,37.799595,-122.408545
12,Filipino,kuyas-asian-cuisine-san-bruno,37.623286,-122.411004
13,Asian Fusion,bamboo-asia-san-francisco,37.7897737289,-122.402279677
14,American (New),nordstrom-cafe-san-francisco,37.7263225684,-122.477274298
15,Burgers,grubstake-san-francisco,37.7895257,-122.4208659
16,Coffee & Tea,beanstalk-cafe-san-francisco-2,37.79015176,-122.409288436
17,Latin American,fresca-san-francisco-2,37.7405945957,-122.466152608
18,Pizza,kezar-pizzetta-san-francisco-2,37.7657496363,-122.457202844
19,Grocery,ming-lee-trading-san-francisco,37.7957229614,-122.407730103
20,Vietnamese,saigon-sandwich-san-francisco,37.7830597444,-122.417336798
21,Specialty Food,napa-farms-market-san-francisco,37.6172738947,-122.382438183
22,Meat Shops,boccalone-san-francisco-2,37.7963392849,-122.394711971
23,Soul Food,soul-delight-san-francisco-2,37.7124384646,-122.407333178
24,Grocery,michaelis-food-store-san-francisco,37.8053092957,-122.422142029
25,Thai,thai-thai-noodle-san-francisco,37.7911221995,-122.417676759
26,Sushi Bars,kusakabe-san-francisco,37.7956615,-122.4028902
27,Afghan,de-afghanan-kabob-house-san-francisco-2,37.78577,-122.420359
28,French,chez-maman-san-francisco-6,37.7769302262,-122.423146543
29,Burgers,crown-burgers-san-francisco,37.7411231995,-122.388824463
30,Specialty Food,far-west-fungi-san-francisco,37.7951354184,-122.393038273
31,Latin American,balompie-cafe-san-francisco,37.7618121,-122.4181677
32,Coffee & Tea,kings-cafe-san-francisco-2,37.724828,-122.4590152
33,Grocery,trader-joes-san-francisco-2,37.771105,-122.407483
34,Grocery,trader-joes-san-francisco-3,37.8054430917,-122.413724736
35,Pubs,hopwater-distribution-san-francisco,37.7899538529,-122.411338985
36,Bars,fly-bar-and-restaurant-san-francisco,37.7879130117,-122.418247223
37,Sandwiches,ikes-place-san-francisco,37.7642944915,-122.430696487
38,Burgers,umami-burger-san-francisco,37.797305755,-122.435245514
39,Japanese,cha-ya-san-francisco-4,37.760753,-122.421787
40,Soul Food,old-skool-cafe-san-francisco,37.734266,-122.390515
41,Mexican,taqueria-dos-charros-san-francisco-2,37.7182143689,-122.474491012
42,Grocery,smart-and-final-san-francisco-2,37.741564,-122.4054679
43,Italian,la-ciccia-san-francisco,37.742265,-122.426666
44,Singaporean,lime-tree-southeast-asian-kitchen-san-francisco,37.764337,-122.462736
45,Japanese,wakaba-sushi-and-noodle-san-francisco,37.6218458782,-122.396278381
46,Food Trucks,blue-iguana-taco-truck-san-francisco,37.7318179,-122.449099
47,Hawaiian,sammys-aloha-san-francisco,37.806631,-122.40508
48,Sandwiches,love-n-haight-deli-san-francisco,37.772004,-122.431261
49,Burgers,gotts-roadside-san-francisco-2,37.7960849485,-122.394304276
50,Mexican,el-castillito-san-francisco-2,37.7688743812,-122.429237366
51,Salad,r-caffe-san-francisco,37.7824041992,-122.418988645
52,Coffee & Tea,higher-grounds-coffee-house-san-francisco,37.734356,-122.433731
53,Sandwiches,grubbin-san-francisco,37.742837593,-122.481266186
54,Mediterranean,the-fly-trap-san-francisco,37.78569,-122.397097
55,Grocery,hong-market-san-francisco,37.784431,-122.418262
56,Moroccan,cafe-zitouna-san-francisco,37.7876935154,-122.420262024
57,Seafood,waterfront-restaurant-san-francisco,37.801086736,-122.399024963
58,French,jardinière-san-francisco-2,37.7781751,-122.4217932
59,Seafood,swan-oyster-depot-san-francisco,37.790939,-122.420796
60,Specialty Food,stonehouse-california-olive-oil-san-francisco,37.795406714,-122.393360138
61,French,bistro-central-parc-san-francisco,37.775023,-122.44427
62,Fast Food,taco-bell-san-francisco-10,37.738923,-122.389778
63,American (New),1760-san-francisco,37.7931389,-122.4211588
64,Pizza,golden-boy-pizza-san-francisco,37.7997956,-122.4080729
65,Japanese,kitchen-kura-san-francisco,37.7635396306,-122.474405766
66,Pubs,white-horse-tavern-and-restaurant-san-francisco,37.7888013705,-122.41102098
67,Food Trucks,tres-truck-san-francisco-4,37.7698440552,-122.411460876
68,Pizza,the-village-market-and-pizza-at-sfsu-san-francisco,37.7226628,-122.4779083
69,French,bouche-san-francisco,37.7902010565,-122.407361269
70,Vietnamese,que-huong-vietnamese-deli-san-francisco-2,37.7635133082,-122.480929389
71,Grocery,amigos-market-san-francisco,37.7846874297,-122.414601222
72,Grocery,rjs-market-levi-plaza-san-francisco,37.8033341445,-122.403404574
73,Asian Fusion,asiasf-san-francisco,37.775035,-122.412817
74,American (New),trou-normand-san-francisco,37.7866643,-122.3997737
75,Restaurants,prubechu-san-francisco,37.7515228,-122.4183644
76,Cajun/Creole,hard-water-san-francisco,37.797501,-122.395484
77,Bars,bar-agricole-san-francisco,37.771554,-122.412882
78,American (New),rickybobby-san-francisco,37.7723414,-122.4288001
79,Food Stands,box-kitchen-san-francisco,37.7811688139,-122.406377481
80,Steakhouses,the-palace-san-francisco,37.748412,-122.4180323
81,Drugstores,walgreens-san-francisco-88,37.763516,-122.458713
82,Thai,zen-yai-thai-restaurant-san-francisco,37.784028,-122.418941
83,Steakhouses,epic-roasthouse-san-francisco,37.7908293058,-122.389254758
84,Grocery,grocery-outlet-san-francisco,37.7797423,-122.4874174
85,Seafood,crab-house-at-pier-39-san-francisco,37.810309483,-122.410756946
86,Sandwiches,roli-roti-gourmet-rotisserie-san-francisco,37.795398236,-122.392534018
87,American (New),the-american-grilled-cheese-kitchen-san-francisco,37.782485,-122.392763
88,Gluten-Free,pica-pica-arepa-kitchen-san-francisco,37.766409,-122.421714
89,American (Traditional),squat-and-gobble-san-francisco-2,37.7406351641,-122.465679869
90,American (New),the-vista-room-san-francisco,37.723084,-122.479363
91,Coffee & Tea,cafe-me-san-francisco-2,37.7959978129,-122.402058961
92,Laotian,champa-garden-san-francisco-2,37.7250728797,-122.460025102
93,Soul Food,auntie-aprils-san-francisco,37.736203149,-122.390346006
94,Grocery,bush-market-san-francisco,37.7901268005,-122.410873413
95,Breakfast & Brunch,hrd-coffee-shop-san-francisco-2,37.7811165,-122.3953976
96,Thai,king-of-thai-noodle-cafe-san-francisco,37.742553,-122.482713
97,Italian,olive-garden-italian-restaurant-san-francisco,37.7273876663,-122.47622285
98,American (New),spruce-san-francisco,37.788149,-122.452737
99,Spanish,piperade-san-francisco,37.8007815519,-122.401514053
100,Japanese,umami-san-francisco,37.797645,-122.4340472
101,Mexican,garaje-san-francisco,37.78201,-122.396132
